nada,caption,rating,caption_cleaned
4266,Es una agencia bastante completa. La atencion es rapida y agradable. Si bien es cierto no es de gran tamaño. Tratan de atender a los clientes lo mas rapido posible. Ademas posee una gran cantidad se cajeros autonaticos. De modo que es bastante sencillo realizar transacciobes aca.,4.0,agenci bastant complet atencion rap agrad si bien ciert gran tamañ trat atend client mas rap posibl adem pose gran cantid cajer autonat mod bastant sencill realiz transacciob aca
4267,nadie contesta la central de esta agencia (begonias),1.0,nadi contest central agenci begoni
4268,"Agencia del BBVA continental ubicada en la Calle Las Begonias en el distrito de San Isidro. Hay que destacar la gran cantidad de cajeros automáticos que hay, uno al costado del otro, parecen no acabar y conté más de 10. La atención es buena pero es similar a la de los demás BBVA, nada nuevo. Los productos y servicios son los mismos que los de las demás agencias.",3.0,agenci bbva continental ubic call begoni distrit san isidr destac gran cantid cajer automat cost parec acab cont 10 atencion buen simil demas bbva nuev product servici mism demas agenci
4269,"Me resulta muy útil, ya que puedo navegar bien. Aunque me descargue la batería muy rápido..",3.0,result util pued naveg bien aunqu descarg bat rap
4270,Buena atención....   Y también experimentando con este banco haber cómo me va,4.0,buen atencion experiment banc hab com va
4271,(Traducido por Google) OTRO BANCO  (Original) ANOTHER BANK,3.0,banc
4273,Excelente Banco,5.0,excelent banc
4275,Es bueno,5.0,buen
4276,Buena gente y personas amables,4.0,buen gent person amabl
4277,Es uno de los  mejores bancos exelente calidad de personas y la  atencion,5.0,mejor banc exelent calid person atencion
4279,Es geneal,3.0,geneal
4280,Mi Primera opcion en Banca,5.0,primer opcion banc
4281,(Traducido por Google) y  (Original) Si,5.0,
4282,Me atienden muy bien!!!,5.0,atiend bien
4283,Mi Banco de toda la vida,4.0,banc tod vid
4284,La mejor atención que hay,5.0,mejor atencion
4285,Buen banco,5.0,buen banc
4287,Buen banco da bueno oportunidade als personas que necesitan para invertiren sus negocios para creser,5.0,buen banc da buen oportunidad als person necesit invertir negoci cres
4291,La agencia es grande y ordenada,5.0,agenci grand orden
4293,"Amplia agencia del banco Continental ubicada en la Avenida Nicolás de Pierola (Colmena) en el Centro de Lima. Se tienen dos partes, la primera el área de cajeros que es bien amplia, pero no tiene demasiados sujetos y el área de atención al público donde están los cajeros y la atención en plataforma. La altura interior de la agencia (altura de piso a techo) es bastante amplia por lo que la sensación de amplitud es evidente. La atención es buena con cajeros muy atentos y prestos a dar muy buen servicio",4.0,ampli agenci banc continental ubic aven nicolas pierol colmen centr lim dos part primer are cajer bien ampli demasi sujet are atencion public cajer atencion plataform altur interior agenci altur pis tech bastant ampli sensacion amplitud evident atencion buen cajer atent prest dar buen servici
4294,"A veces encuentro el multifunción que no funciona, que ironía . . .",3.0,vec encuentr multifuncion funcion iron
4295,"BBVA Maranga, ubicada en la avenida La Marina, es una Oficina de banca personal, cuenta con zona de atención y servicio al cliente vía telefónica y ademas de cajero para retiro y deposito, cuenta estacionamiento y accesibilidad, es bastante concurrido por lo cual debes considerar la espera.",4.0,bbva marang ubic aven marin oficin banc personal cuent zon atencion servici client via telefon adem cajer retir deposit cuent estacion accesibil bastant concurr deb consider esper
4296,Excelente,5.0,excelent
4297,"Debería estar un policía en el cajero ya que en las noches entran de 3 y comienzan a jugar con todas las cajas. Necesita más control, es más ahorita estan jugando y manipulando todos los cajeros (lunes 22 de abril, 11:35 pm)",2.0,deb polic cajer noch entran 3 comienz jug tod caj necesit control ahorit estan jug manipul cajer lun 22 abril 1135 pm
4298,"Muy mala la atención, es una falta de respeto para los clientes quienes merecemos un trato agradable y cordial. Estuve esperando el día martes 12 de febrero más de 20 minutos para ser atendidos en plataforma mi esposo y yo, eran las 10:30…",1.0,mal atencion falt respet client merec trat agrad cordial esper dia mart 12 febrer 20 minut ser atend plataform espos 1030…
4299,"Agencia del banco BBVA Continental ubicada en la Avenida La Marina en el distrito de San Miguel, al costado del Scotiabank. Esta agencia ha sido sido remodelada y ahora luce con mucho mejor aspecto y da la sensación de mayor seguridad al…",3.0,agenci banc bbva continental ubic aven marin distrit san miguel cost scotiabank agenci sid sid remodel ahor luc mejor aspect da sensacion mayor segur al…
4300,"Por favor, necesito comunicarme con ustedes. Estoy en España y el numero 2425064 que me dieron en el numero de atencion al cliente de BBVA nunca me contesta, aparece como ocupado. Es urgente tienen otro numero donde pueda llamar por favor, es urgente soy cliente del banco.",4.0,favor necesit comunic usted españ numer 2425064 dieron numer atencion client bbva nunc contest aparec ocup urgent numer pued llam favor urgent client banc
4301,"siempre amables, buena atencion",5.0,siempr amabl buen atencion
4302,Agencia mediana. El área de cajeros cuenta con cajero multifunción (para depósitos).,3.0,agenci median are cajer cuent cajer multifuncion deposit
4304,Banca privada,1.0,banc priv
4305,Siempre que voy para lleno,3.0,siempr voy llen
4306,algún numero de una analista de este banco por favor necesito urgente hay personas que estan en abancay quieren cobrar sus bono pero a qui en abancay no hay agencia del BBVA  HAY BARIAS PERSONAS QUE NECISITAN  PARA QUE SE LES AGA UNA TRANFERENCIA AL BANCO DE LA NACION,5.0,algun numer anal banc favor necesit urgent person estan abancay quier cobr bon qui abancay agenci bbva bari person necisit aga tranferent banc nacion
4307,Muy buena atención excelente,5.0,buen atencion excelent
4308,"Atención rapida, local muy pequeño",4.0,atencion rap local pequeñ
4309,"Buen servicio de atención al cliente, aunque deberían llevarse mejor los trabajadores, se nota mal ambiente laboral.",3.0,buen servici atencion client aunqu deb llev mejor trabaj not mal ambient laboral
