nada,caption,rating,caption_cleaned
0,Muy buena atencion,5.0,buen atencion
2,"Este Banco (todas las sucursales) tiene los recursos para una funcionalidad, reputación y confianza óptimas. Sin embargo, algunos 'modelos de negocios' y políticas internas están condicionadas, limitadas por una cultura y mentalidad no inclusivas. Significando que ven como no necesario brindar ciertos servicios básicos como: extración por ventanilla, envío de resumenes digitales y comunicación de cambios en los servicios, etc, a clientes 'pobres', cuyas cuentas no manejen volumenes altos de dinero. Señores debiesen revisar esto, pues ustedes, no lo tomen a mal, distan mucho de ser el Mitsubishi UFJ Financial Group, o el Chase Manhattan Bank, ni siquiera se acercan al BPN Pariba. Sugerencia: la actitud de servicio, la humildad, el respeto y cercanía a TODOS sus clientes es el comienzo a un mejor Banco. No solo debe ser visible en el trato al cliente, va más allá de eso, debe estar reflejado en una selección de servicios que solucionen problemas puntuales cotidianos de TODOS los usuarios, de la forma más rápida, eficiente y alegre posible",1.0,banc tod sucursal recurs funcional reput confianz optim embarg model negoci polit intern condicion limit cultur mental inclus signific ven necesari brind ciert servici basic extracion ventanill envi resumen digital comun cambi servici etc client pobr cuy cuent manej volumen altos diner señor deb revis pues usted tom mal dist ser mitsubishi ufj financial group chas manhatt bank siqu acerc bpn parib sugerent actitud servici humild respet cercan client comienz mejor banc sol deb ser visibl trat client va alla deb reflej seleccion servici solucion problem puntual cotidian usuari form rap eficient alegr posibl
3,"Nunca me atendio tan mal el personal de recepción de un banco, daba la impresión que le generaba molestia que le haga una consulta. Si no les gusta su trabajo, o les incómoda la atención al público, busquense otro rubro.",1.0,nunc atendi tan mal personal recepcion banc dab impresion gener molesti hag consult si gust trabaj incomod atencion public busquens rubr
4,"TE OFRECEN MILES DE ""BENEFICIOS"" PARA ABRIR UNA CUENTA Y NO CUMPLEN CON NADA, USUREROS",1.0,ofrec mil benefici abrir cuent cumpl usurer
5,"te ofrecen el oro y el moro para que abras una cuenta (millas latam etc) y obvio NUNCA LO CUMPLEN. no creer nada de lo que dicen para que te pases de banco , son MENTIRAS!",1.0,ofrec oro mor abras cuent mill latam etc obvi nunc cumpl cre dic pas banc mentir
6,Nunca acepten una tarjeta bonificada emitida por este banco!! Después aunque NUNCA la hayas habilitado ni usado te quieren cobrar y te amenazan con hacerte juicio y mandarte al veraz,1.0,nunc acept tarjet bonific emit banc despues aunqu nunc habilit usad quier cobr amenaz hacert juici mandart veraz
7,Poca gente atiende tan bien como ellos,5.0,poc gent atiend tan bien
8,Jamas te podes comunicar con nadie de carne y hueso que te solucionen nada!!! Da asco la atención! Te boludean! Ni por mail ni por telefono ni por chat!!!! Me cobraron casi 500 pesos mas de lo que decía mi resumen de 2 tarjetas y nadie me responde!,1.0,jam pod comunic nadi carn hues solucion da asco atencion bolud mail telefon chat cobr casi 500 pes mas dec resum 2 tarjet nadi respond
11,El interior de éste edificio es impactante.,4.0,interior este edifici impact
12,"No te preocupes Mariano cuando la recibas verás que han vaciado tu cuenta y cuando reclames, por escrito en la sucursal te diran que tu queja no sirve de nada, que llames por teléfono y cuando llames por teléfono te diran que no se hacen cargo de nada!!!",1.0,preocup marian recib veras vaci cuent reclam escrit sucursal dir quej sirv llam telefon llam telefon dir hac carg
15,"Muy lindo edificio, muchos detalles, amplió lugar, la gran mayoría de la atención de cajas es lenta al igual que el sector comex, back Office muy rápido",4.0,lind edifici detall ampli lug gran mayor atencion caj lent igual sector comex back offic rap
16,"Sede del Banco BBVA, Banco Francés, situado en el microcentro de la ciudad Autónoma de Buenos Aires",3.0,sed banc bbva banc frances situ microcentr ciud autonom buen air
17,No atiende telefónicamente. Quedas colgado intentando recibir una respuesta.,1.0,atiend telefon qued colg intent recib respuest
18,"(Traducido por Google) Es mejor visitar un banco en la zona del ""microcentro"" antes de las 11.00 o desde las 16.00, porque el área está cerrada por la policía en este momento.  (Original) Банк в районе ""микроцентра"" лучше посещать до 11.00 или с 16.00, т.к. район перекрывает полиция в данное время.",3.0,mejor visit banc zon microcentr 11 00 16 00 are cerr polic moment
19,Lenta la atención. Lindo edificio.,3.0,lent atencion lind edifici
21,Comisiones muy altas,3.0,comision altas
22,Debería tener el número de sucursal visible al público para poder hacer depósitos en efectivo.,2.0,deb ten numer sucursal visibl public pod hac deposit efect
23,Sucursal bancario del BBVA en el microcentro porteño. Edificio histórico. Patrimonio arquitectónico local.,4.0,sucursal bancari bbva microcentr porteñ edifici histor patrimoni arquitecton local
24,Gracias Banco Francés por segunda en la renovación de la tarjeta de débito me dejan 5 días con la tarjeta inhabilitada. Gracias no no no no necesito sacar plata. Si el dinero llueve.,1.0,graci banc frances segund renov tarjet debit dej 5 dias tarjet inhabilit graci necesit sac plat si diner lluev
26,"Malisima atencion, poca linea de credito, y si piensa abrir una cuenta en un banco de verdad, este no lo es, mi consejo, busque por otros que tambien tienen sucursales y crecen mas que este....",1.0,malisim atencion poc line credit si piens abrir cuent banc verd consej busqu tambi sucursal crec mas
29,(Traducido por Google) Fantástico edificio con estilo!  (Original) Fantastic stylish building!,5.0,fantast edifici estil
31,Es un banco estafador me an abierto una cuenta que no autorize y de la nada aparecio gastos de mucha plata.,1.0,banc estaf an abiert cuent autoriz apareci gast much plat
32,Un banco de mierda,3.0,banc mierd
33,"Hermoso edificio, lleno los primeros días del mes",5.0,hermos edifici llen primer dias mes
34,Hermoso edificio,4.0,hermos edifici
37,Muy lindo edificio,4.0,lind edifici
38,"Las instalaciones están bien y el personal te atiende atentamente pero el servicio del banco no es muy bueno, dan muchas vueltas para hacer cualquier tramite",3.0,instal bien personal atiend atent servici banc buen dan much vuelt hac cualqui tramit
39,"Es la peor entidad con la que he trabajado, llamas por telefono, perdes mas de una hora hablando con un inutil que te dice cualquier cosa (lease te miente descaradamente), hacen lo que quieren con los movimientos en las cuentas, te imputan las cosas como el orto y jamas te resuelven nada, ni se te ocurra elevar una queja y esperar una respuesta, en 11 años que trabajo con el banco JAMAS me respondieron NINGUNA nota, ni siquiera las cartas que deje al gerente. Solo estoy esperando terminar de pagar el prestamo para mandar esta entidad del ORTO a la mierda y no volver a trabajar con ellos NUNCA MAS",1.0,peor entid trabaj llam telefon perd mas hor habl inutil dic cualqui cos leas mient descar hac quier movimient cuent imput cos orto jam resuelv ocurr elev quej esper respuest 11 años trabaj banc jam respond ningun not siqu cart dej gerent sol esper termin pag prestam mand entid orto mierd volv trabaj nunc mas
41,No hay ningún banco. El mas cercano es el de Av. República del Líbano,1.0,ningun banc mas cercan av republ liban
42,No ahí ningún banco acá,1.0,ahi ningun banc aca
43,"En esta sucursal siempre me han tratado excelente.  Lo que debo denunciar es que los cajeros automáticos en reiteradas oportunidades o están fuera de servicio o están sin dinero.  Hoy 27/04/2020, fui alrededor de las 11 de la mañana y personal de seguridad me informó que no había dinero hasta después de las 17 horas.  En estos tiempos en que las salidas están restringidas, es una lástima que esto suceda.",5.0,sucursal siempr trat excelent deb denunci cajer automat reiter oportun servici diner hoy 27 04 2020 alrededor 11 mañan personal segur inform diner despues 17 hor tiemp sal restring lastim suced
44,"pésima atención, la sucursal esta sucia y los cajeros están continuamente fuera de servicio. vergonzoso.",1.0,pesim atencion sucursal suci cajer continu servici vergonz
46,"Tardan como mínimo una hora para atender. En las cajas solo hay dos personas y cuando la recepcionista se va , no hay quien la reemplace. Usan al guardia de custodia como recepcionista y no tiene la más mínima idea porque obviamente no es su trabajo. Deplorable la atención. Me comí una hora de espera de gusto, los cajeros se quedan sin dinero y la reposición tarda de un día para al otro. Atención al público deja muchísimo que desear.",1.0,tard minim hor atend caj sol dos person recepcion va reemplac usan guardi custodi recepcion minim ide obvi trabaj deplor atencion com hor esper gust cajer qued diner reposicion tard dia atencion public dej muchisim des
47,Excelente banco y muy ágil todo.,5.0,excelent banc agil
49,Pésima atención. El seguridad una persona  tosca y maleducada te hace sentir incomodo t con ganas de irte. Fui a abrir una cuenta y el tipo fue grosero porque le consulté donde veia los turnos porque habia dos puestos de atendimiento libres y yo era el unico que esperaba ser atendido. Pesimo banco y contratan gente bruta e ignorante,1.0,pesim atencion segur person tosc maleduc hac sent incomod t gan irte abrir cuent tip groser consult vei turn habi dos puest atend libr unic esper ser atend pesim banc contrat gent brut ignor
50,"Muchas máquinas y entras y salís. Ojo, no es principio de mes, pero muy rápido.",5.0,much maquin entras sal ojo principi mes rap
51,Pesimo banco. Pierden info sensible de los clientes y no cumplen con las promociones que ofrecen.,1.0,pesim banc pierd info sensibl client cumpl promocion ofrec
53,"Muy buena sede, todo muy limpio, muy ágiles y rápidos. La atención es excelente. Mención especial a Martin, Alfredo  y a la señorita de lentes morena con su sonrisa enciende soles son super cheveres!",5.0,buen sed limpi agil rap atencion excelent mencion especial martin alfred señorit lent moren sonris enciend sol sup chever
54,HORRIBLE 1 HORA PARA QUE ME ATIENDAN 5 MINUTOS PARA IRME. MAL ORGANIZADO ESTOY PENSANDO CAMBIAR DE BANCO. PERDÍ TODOS  MIS PUNTOS LATAM PORQUÉ NADIE ME DIJO JAMÁS QUE SE VENCIAN. ADEMÁS PARA CAMBIAR DE SUCURSAL UN DESASTRE CERO INFORMACIÓN.,1.0,horribl 1 hor atiend 5 minut irme mal organiz pens cambi banc perd punt latam porqu nadi dij jamas venci ademas cambi sucursal desastr cer inform
56,Los internos del lugar son 716602 // 716606 pero pocas veces te atienden,1.0,intern lug 716602 716606 poc vec atiend
57,"Malísima atención solo el chico que sacaba los turnos el resto poco interés en solucionar los problemas, los empleados jugando con el celular mientras te hacen esperar. Un asco.",1.0,malisim atencion sol chic sac turn rest interes solucion problem emple jug celul mientr hac esper asco
58,"Esta sucursal es un verdadero desastre.Jamas te van a solucionar nada de nada ,todo lo contrario. Lejos es la peor entidad. El seguridad lo único que vale la pena.",1.0,sucursal verdader desastr jam van solucion contrari lej peor entid segur unic val pen
59,"Muy buena atención,excelente clima laboral",5.0,buen atencion excelent clim laboral
61,Todo bien,3.0,bien
63,Buena atención  banco chiquito nomas,5.0,buen atencion banc chiquit nom
64,Excelente Banco! La atención es muy buena . El Banco es muy pequeño por lo tanto hay que armarse de paciencia cuando hay mucha gente . Abre de 10 a 15hs,5.0,excelent banc atencion buen banc pequeñ armars pacienci much gent abre 10 15hs
65,Muy buen banco,5.0,buen banc
67,Muy bueno,4.0,buen
68,"Siempre esta lleno, como todo banco",1.0,siempr llen banc
69,"Siempre se puede sacar plata de los cajeros, buena opción",4.0,siempr pued sac plat cajer buen opcion
70,BBVA un buen banco,3.0,bbva buen banc
75,Esto es excelente,4.0,excelent
76,Un desastre!!,1.0,desastr
78,Cambio mucho desde que dejó de ser banco Francés,3.0,cambi dej ser banc frances
79,imposible comunicarme con ellos,1.0,impos comunic
80,"LENTO, DESORDENADO, POCO ESPACIO FISICO, INCÒMODO. UNA VEZ FUIMOS A AVERIGUAR POR UN PRÈSTAMO PERSONAL , Y LE ENTREGAMOS EN MANO AL EMPLEADO, UN PAPEL CON EL MONTO QUE PRETENDÌAMOS, DICIENDOLE QUE POR FAVOR ""NO LO DIGA EN VOZ ALTA"", Y EL EMPLEADUCHO, LO DIJO EN VOZ ALTA!!!,  MUY MALA ATENCIÒN!!!! ANTES ESTE BANCO ERA MUCHO MEJOR.",1.0,lent desorden espaci fisic incòmod vez averigu prèstam personal entreg man emple papel mont pretendì dic favor dig voz alta empleaduch dij voz alta mal atenciòn banc mejor
81,Malo.cajeros muy lentos.todo lento.no atienden jamas el telefono,1.0,mal cajer lent lent atiend jam telefon
82,"La atención es de regular a mala, y los cajeros no andan casi nunca!!! Es un desastre!!!",2.0,atencion regul mal cajer andan casi nunc desastr
84,Muy mala atención,1.0,mal atencion
85,"Muy mala atención, a desgano, como si te hicieran un favor...",1.0,mal atencion desgan si hic favor
86,"Es un desastre esta sucursal. Los cajeros no funcionan o funcionan mal, casi es imposible usarlos. Hacer un deposito es algo IMPOSIBLE! Como los cajeros no funcionan, te mandan a la caja y te tienen 2 horas para atenderte. La atención al cliente es PESIMA! Planteas un problema y no saben como solucionarlo. NO LOS RECOMIENDO!",1.0,desastr sucursal cajer funcion funcion mal casi impos usarl hac deposit impos cajer funcion mand caj 2 hor atendert atencion client pesim plant problem sab solucion recom
87,"Muy lentos para atender. El que te atiende en recepción parece que le tiene asco a la gente pobre. En servicios hay una señora que pareciera no tiene ganas de trabajar porque se toma todo el tiempo que quiere entre cliente y cliente. Los oficiales te tratan cordialmente salvando un poco el maltrato de los demás empleados. En caja te atienden mal y no respetan el protocolo de los turnos, creando confusiones y encima te cagan a pedos a vos. Mejoren el trato que somos sus clientes no sus prisioneros.",1.0,lent atend atiend recepcion parec asco gent pobr servici señor parec gan trabaj tom tiemp quier client client oficial trat cordial salv maltrat demas emple caj atiend mal respet protocol turn cre confusion encim cag ped vos mejor trat client prisioner
88,"No se puede creer la facilidad que tienen de embocarte paquetes.. como son los créditos a sola firma; no ven si el cliente tiene movimientos en la cuenta ó más obvio entrada de dinero, como tampoco si la persona está plena de sus facultades mentales a la hora de elegir. Es triste observar cuanta gente cae en la miseria, arrastrando a su familia también a causa de los supuestos servicios que ofrecen los bancos. Estos establecimientos fueron creados para el manejo económico del ganado de la clase media y viven de ella, mientras que a la vez son herramientas de las clases altas, las cuales digitan y artilugian, más tarde, un corralito financiero, así para justificar lo que no pueden resolver coherentemente administrando un país y mucho menos por estar atados a los créditos que piden de afuera para seguir politiqueando y encima regidos por una economía extranjera... De todos modos, no me extraña de los bancos.. son usureros desde la hora cero.. de ahí se denota la frialdad con la que te atienden.",5.0,pued cre facil embocart paquet credit sol firm ven si client movimient cuent o obvi entrad diner tampoc si person plen facultad mental hor eleg trist observ cuant gent cae miseri arrastr famili caus supuest servici ofrec banc establec cre manej econom gan clas medi viv mientr vez herramient clas altas cual digit artilugi tard corralit financier asi justific pued resolv coherent administr pais men atad credit pid afuer segu politiqu encim reg econom extranjer mod extrañ banc usurer hor cer ahi denot friald atiend
89,Muy lentos para atender.,3.0,lent atend
92,Pesima atencion. Jamas atienden un telefono. A pesar de estar en tiempos de pandemia te obligan a realizar tramites on line que se pierden o jamas responden. Como cliente Premium word estoy esperando que termine este calvario para cambiar de bamnco,1.0,pesim atencion jam atiend telefon pes tiemp pandemi oblig realiz tramit on lin pierd jam respond client premium word esper termin calvari cambi bamnc
93,"Atención desastrosa, pocas cajas",2.0,atencion desastr poc caj
94,Muy pocos profesionales.. son lamentables,1.0,poc profesional lament
97,Muy mala experiencia. CERO compromiso con el cliente. Para lo unico que  se esfuerzan es para que elijas otro banco. La atención premium es decadente,1.0,mal experient cer compromis client unic esfuerz elij banc atencion premium decadent
98,Vayan a otro banco,1.0,vay banc
99,No recomiendo,1.0,recom
100,"Es pésima la atención en el sector de cajas. Nunca atienden los 4 cajeros y son LENTOS. 45 minutos esperando para poder hacer una transacción. Esos asientos sin respaldo y abuelos de 80 años esperando a ser atendidos porque ni siquiera respetan la prioridad. Uno tiene que tener paciencia cuando en realidad pagamos por un servicio y correspondería que el mismo sea a la altura de las comisiones que abonamos. A medida que pasa el tiempo, el BBVA empeora.",2.0,pesim atencion sector caj nunc atiend 4 cajer lent 45 minut esper pod hac transaccion asient respald abuel 80 años esper ser atend siqu respet priorid ten pacienci realid pag servici correspond mism altur comision abon med pas tiemp bbva empeor
103,"La sucursal que el Banco BBVA Francés tiene sobre Uruguay entre Santa Fe y Marcelo T. de Alvear suele ser tranquila, sin mucho movimiento de público. En la planta baja cuenta con dos cajeros automáticos de la red Banelco y varias máquinas para realizar depósitos además de los escritos para la atención personalizada. Las caja se encuentran en el subsuelo con acceso también por ascensor. La atención en las cajas suele ser muy lenta.",3.0,sucursal banc bbva frances uruguay sant fe marcel t alve suel ser tranquil movimient public plant baj cuent dos cajer automat red banelc vari maquin realiz deposit ademas escrit atencion personaliz caj encuentr subsuel acces ascensor atencion caj suel ser lent
108,"Me hicieron esperar más de una hora, por un error de un empleado.",2.0,hic esper hor error emple
110,Excelente atención.,5.0,excelent atencion
112,Pese que hay cuarentena y con turno para atención personal.  Fuimos atendidos desde la puerta por el oficial de cuentas. Solamente quien va a caja puede entrar en el banco. De quinta la atención al cliente.,2.0,pes cuarenten turn atencion personal atend puert oficial cuent sol va caj pued entrar banc quint atencion client
114,Excelente los empleados.,5.0,excelent emple
115,La atención es buena y rápida te atiende bien.,4.0,atencion buen rap atiend bien
118,"Buena atencion, los cajeros andan muy bien.",4.0,buen atencion cajer andan bien
120,"El lugar está vacío casi siempre, así que se puede hacer trámites sin problemas",5.0,lug vaci casi siempr asi pued hac tramit problem
122,Pago cuentas sin problemas,4.0,pag cuent problem
125,"Es curioso que me hayan impreso al reves mi primer y segundo nombre en las tarjetas.. cuando ese dia espere mas de una hora que me atendieran, mientras las representantes de atencion al cliente resolvían el dilema de pedir empanadas de verdura o carne en el almuerzo. FALTA TOTAL DE RESPETO. Deberian controlarse y saber que SOMOS PERSONAS y CLIENTES DEL BANCO, que estamos esperando ser atendidos mientras  escuchamos sus conversaciones. Deberian contratar o capacitar mejor a sus empledos.",1.0,curios impres rev prim segund nombr tarjet dia esper mas hor atend mientr represent atencion client resolv dilem ped empan verdur carn almuerz falt total respet deberi control sab person client banc esper ser atend mientr escuch convers deberi contrat capacit mejor empled
126,Buena atención y buena página web.,4.0,buen atencion buen pagin web
127,esta sucursal es número 143!!,3.0,sucursal numer 143
129,"Mala atención, pedí cambio y me lo negó",1.0,mal atencion ped cambi neg
131,Buena atención,3.0,buen atencion
132,En general poca demora y los cajeros suelen tener plata.,4.0,general poc demor cajer suel ten plat
133,Pésima atención. Un oficial individuo para atender a TODOS! TARDAN UNA ETERNIDAD EN ATENCIÓN AL PÚBLICO. Es una vergüenza.,1.0,pesim atencion oficial individu atend tard etern atencion public vergüenz
134,Excelente atención.prolijos con el tema covit-19,5.0,excelent atencion prolij tem covit19
135,Desde el 2017 espero mi comprobante de libre deuda.un desastre,1.0,2017 esper comprob libr deud desastr
136,Fui a muchas sucursales del francés y ésta fue por lejos la peor! 40minutos esperando para las cajas!!! Insólito,1.0,much sucursal frances esta lej peor 40minut esper caj insolit
137,"Excelente Atención, sobre todo de la Señora del puesto 1 que realiza entrega se productos, muy amable y re paciente en explicarte las instrucciones de cada producto. Divina y Gracias!!",5.0,excelent atencion señor puest 1 realiz entreg product amabl re pacient explicart instruccion cad product divin graci
138,"Me obsequiaron tarjetas de crédito y priority pass y me estafaron con la letra chica. Ahora, cuando quiero dar de baja mis productos me lo estan haciendo muy dificil.",1.0,obsequi tarjet credit priority pass estaf letr chic ahor quier dar baj product estan hac dificil
139,Sucursal promedio,4.0,sucursal promedi
140,Muy buena atención en esta sucursal. Siempre hay gente asistiendo en los autoservicios y la línea de cajas y atención al cliente con empleados bien dispuestos.,5.0,buen atencion sucursal siempr gent asist autoservici line caj atencion client emple bien dispuest
141,Cola para la caja mayor o igual a 50 minutos!!!,2.0,col caj mayor igual 50 minut
142,Si vas después de las 13 hs Seguramente vas a tener entre 15 y 30 minutoss de cola.,2.0,si vas despues 13 hs segur vas ten 15 30 minutoss col
144,Es de fácil acceso y tiene varios ATM,4.0,facil acces vari atm
145,Rápida la atención a los clientes. Punto a favor.,5.0,rap atencion client punt favor
146,Fui 5 veces a cerrar mis cuentas y por una cuestión u otra no las cierran. Admitieron deberme $ y no la cerraron hace 1.5 años la última vez. Ahora me mandan emails de que debo $100 o algo así y que tengo que ir en persona. No vivo más ahí y con la pandemia no puedo ir. Estoy por contratar un abogado porque no pueden tenerme asociada cuando solicité la baja 5 veces!! Una vergüenza y no pueden seguir solicitando el pago deudas imaginarias de ellos. Espero el día a no tener nada que ver con esos delincuentes.,1.0,5 vec cerr cuent cuestion u cierr admit deb cerr hac 1 5 años ultim vez ahor mand emails deb 100 asi ir person viv ahi pandemi pued ir contrat abog pued ten asoci solicit baj 5 vec vergüenz pued segu solicit pag deud imaginari esper dia ten ver delincuent
148,El banco como entidad es un desastre,1.0,banc entid desastr
149,"Mal banco. Horrible lo q esperas siendo cliente. Pocos cajeros. El Superville q está al lado, si es otra cosa.",1.0,mal banc horribl q esper siend client poc cajer supervill q lad si cos
150,4 veces para dar de baja un producto en el banco! un desastre =(,2.0,4 vec dar baj product banc desastr
151,"Como uno retira pago de proveedores, la atención es muy mala!!!!",1.0,retir pag proveedor atencion mal
152,Excelente sucursal. La atención es muy buena siempre y en horarios de mucho público es bastante ágil.,5.0,excelent sucursal atencion buen siempr horari public bastant agil
153,"Es muy buena la atención para clientes premium world y premium, si tenes cuentas como liberton, te tardan mucho en atender. El ejecutivo premium siempre con la mejor onda y atiende perfectamente sin que te queden dudas a las consultas. Siempre que tenes alguna pregunta, te la solucionan bien. Lo que me molesta y motivo por el cual le doy 3 estrellas es porque a los clientes con cuenta liberton los tardan demasiado en atender (yo antes tenía esa cuenta y estaba 2 horas). Lo recomiendo, los ejecutivos ponen buenos limites y siempre con buenas propuestas.",3.0,buen atencion client premium world premium si ten cuent liberton tard atend ejecut premium siempr mejor onda atiend perfect qued dud consult siempr ten algun pregunt solucion bien molest motiv doy 3 estrell client cuent liberton tard demasi atend cuent 2 hor recom ejecut pon buen limit siempr buen propuest
155,Buena atención y rapidez.,4.0,buen atencion rapidez
157,"Pésima atención, anda un sólo cajero, muy mala predisposición por parte de los empleados,falta mucha organización porque no funciona nada. El sistema que registra tu documento para identificarte no se entiende nada. Falta mas personal que ayude y tenga buena predisposición. No se puede estar 1 hora ycuarto parado haciendo cola en el autoservicio. Se llamó a la Gerente y nunca apareció. Totalmente decadente para la zona donde está ubicado",1.0,pesim atencion anda sol cajer mal predisposicion part emple falt much organiz funcion sistem registr document identificart entiend falt mas personal ayud buen predisposicion pued 1 hor ycuart par hac col autoservici llam gerent nunc aparec total decadent zon ubic
158,"Te atiendne rapido, la gente te trata muy bien. Normalmente hay poca cola.",4.0,atiendn rap gent trat bien normal poc col
159,"Sucursal de banco frances, solo tiene 2 cajeros de extraccion y 2 de deposito. Suele llenarse cuando uno deja de funcionar.",3.0,sucursal banc franc sol 2 cajer extraccion 2 deposit suel llen dej funcion
161,Su aplicación es una M I E R D A  Saludos.,1.0,aplic m i r d salud
162,"La soberbia de las q atienden en planta baja es infumable, me cambie de sucursal x ellas. Cajas y el señor de seguridad todo bien",1.0,soberbi q atiend plant baj infum cambi sucursal x caj señor segur bien
163,Buen banco y muy atento el personal..me ayudaron de inmediato. Excelente servicio,5.0,buen banc atent personal ayud inmediat excelent servici
164,"No me quisieron abrir una cuenta por mi pais de nacimiento, por mas que soy ciudadano argentino y cumplo con todos los requisitos que pidieron y hasta tengo cuentas en otro banco también . La chica me atendió bien pero me dijo que estoy bloqueado en el sistema por esta razón. Entiendo que no es la culpa de los que me atendieron sino culpa del banco por discriminar.",1.0,quis abrir cuent pais nacimient mas ciudadan argentin cumpl requisit pid cuent banc chic atend bien dij bloqu sistem razon entiend culp atend sin culp banc discrimin
165,"La recepcionista atiende como de favor, cualquier consulta le cae mal y le molesta si hacés más de una pregunta. Han mejorado los cajeros automáticos pero me parece malísimo e inseguro que la puerta de ingreso esté abierta y cualquiera pueda entrar sin pasar una tarjeta por el lector. Más de una vez no tuvieron plata en fin de semana.",2.0,recepcion atiend favor cualqui consult cae mal molest si haces pregunt mejor cajer automat parec malisim insegur puert ingres abiert cualqu pued entrar pas tarjet lector vez plat fin seman
166,"Realice un deposito en efectivo desde el cajero automatico, el cual se trabo y se quedo con mi dinero, pedi ayuda al personal del banco a travez de la perciana porque recien cerraban y ninguno me dio pelota, era como hablar con una pared, increible, a parte el deposito era un importe bastante importante.  La atencion de esa sucursal siempre ha sido terrible y despues de esto sinceramente dejan mucho que desear. Espero que me devuelvan el dinero cuanto antes.",1.0,realic deposit efect cajer automat trab qued diner pedi ayud personal banc travez percian reci cerr ningun dio pelot habl par increibl part deposit import bastant import atencion sucursal siempr sid terribl despu sincer dej des esper devuelv diner cuant
167,ESTA SUCURSAL ES UN DESASTRE. CIERRA LOS FINES DE SEMANA. NO SE PUEDE CONTAR CON EL DINERO DE UNO. EL CAJERO DEBE ESTAR ABIERTO LAS 24 HS Y NO LO CUMPLEN NUNCA. HACE MESES QUE ESTA CERRADO,1.0,sucursal desastr cierr fin seman pued cont diner cajer deb abiert 24 hs cumpl nunc hac mes cerr
168,"No tiene lector de tarjeta para utilizar fuera de los horarios de banco, no sirve como cajero automático",1.0,lector tarjet utiliz horari banc sirv cajer automat
170,absurdamente ridicula atencion.especialmente la malcogida de la recepcion,1.0,absurd ridicul atencion especial malcog recepcion
171,No se puede acceder a los cajeros fuera del horario del banco. Se supone que son 24 hs. DEBEN SOLUCIONARLO. ES UNA VERGUENZA,1.0,pued acced cajer horari banc supon 24 hs deb solucion verguenz
172,A la entrada del banco le sacaron el lector de tarjetas para ingresar y nunca lo repusieron. Si no está abierto no se puede acceder a los cajeros automáticos.,1.0,entrad banc sac lector tarjet ingres nunc repus si abiert pued acced cajer automat
173,"Sinceramente PÉSIMA atención por parte de la recepcionista. No solo me trato muy mal a mi, sino también a varias persona que estaban durante el tiempo que estuve en la sucursal. Le realice algunas consultas y me respondió en todo momento de una muy mala manera; y no solo eso, sino que estaba con su teléfono celular en la mano. Por favor no solo coloquen cámaras, sino también micrófonos para que puedan comprobar la mala atención al público por parte de su empleada.",1.0,sincer pesim atencion part recepcion sol trat mal sin vari person tiemp sucursal realic consult respond moment mal maner sol sin telefon celul man favor sol coloqu cam sin microfon pued comprob mal atencion public part emple
174,"Si bien el espacio es pequeño, no hace mucho aumentaron duplicando la cantidad de cajeros. Los empleados de mesa de entrada de hace un año, regular. La atención de la encargada, a clientes del banco, muy buena.  En la puerta de este bco vivía a la interperie un linyera conocido como Pechito. Tenía algunas cajas, una frazada, ¡un televisor! y dos perros. Nunca vi a nadie que le ofreciera trabajo, que lo haya llevado a su casa a domir o a comer, nunca nadie lo invitó a tomar un café a la esquina, nunca nadie se preocupó por interceder ante el gobierno de la Ciudad o el gobierno Nacional por la situación de esta persona. Algunos les llevaban comida para los dos perros que estaban más gordo que él. Un día Pechito desapareció. A la semana murió en un Hospital. Después que murió aparecieron manifestaciones de tristeza y lamentos de los ""vecinos"", los mismos que nunca le ayudaron. Pegaron carteles y llevaron flores, y a los dos o tres días se reunieron y rifaron a los dos perros. La gente que hizo esas manifestaciones de pesar me da vegüenza ajena. Jamás se preocuparon por el linyera hasta el día que murió para plasmar sus ""lamentos"". Al día de la fecha ha pintado su retrato en la pared.",4.0,si bien espaci pequeñ hac aument duplic cantid cajer emple mes entrad hac año regul atencion encarg client banc buen puert bco viv interperi linyer conoc pechit caj fraz ¡un televisor dos perr nunc vi nadi ofrec trabaj llev cas dom com nunc nadi invit tom caf esquin nunc nadi preocup interced gobiern ciud gobiern nacional situacion person llev com dos perr gord dia pechit desaparec seman mur hospital despues mur aparec manifest tristez lament vecin mism nunc ayud peg cartel llev flor dos tres dias reun rif dos perr gent hiz manifest pes da vegüenz ajen jamas preocup linyer dia mur plasm lament dia fech pint retrat par
176,Buena atención y servicio....,3.0,buen atencion servici
177,El mejor banco. Cajero sucio los fines de semana.,5.0,mejor banc cajer suci fin seman
